title,studio,domestic_gross,foreign_gross,year,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,movie_id,averagerating,numvotes
Killers,LGF,47100000.0,51100000,2010,tt1103153,Killers,Killers,2010,100.0,"Action,Comedy,Romance",tt1103153,5.4,82237
Killers,LGF,47100000.0,51100000,2010,tt2409300,Killers,Killers,2014,137.0,"Action,Crime,Drama",tt2409300,6.5,4472
Kick-Ass,LGF,48100000.0,48100000,2010,tt1250777,Kick-Ass,Kick-Ass,2010,117.0,"Action,Comedy",tt1250777,7.6,497363
Green Zone,Uni.,35100000.0,59800000,2010,tt0947810,Green Zone,Green Zone,2010,115.0,"Action,Drama,Thriller",tt0947810,6.8,122132
Nanny McPhee Returns,Uni.,29000000.0,64200000,2010,tt1415283,Nanny McPhee Returns,Nanny McPhee and the Big Bang,2010,109.0,"Comedy,Family,Fantasy",tt1415283,6.1,25048
Get Him to the Greek,Uni.,61000000.0,30300000,2010,tt1226229,Get Him to the Greek,Get Him to the Greek,2010,109.0,"Adventure,Comedy,Music",tt1226229,6.4,161653
Burlesque,SGem,39400000.0,50100000,2010,tt1126591,Burlesque,Burlesque,2010,119.0,"Drama,Music,Musical",tt1126591,6.4,71021
Burlesque,SGem,39400000.0,50100000,2010,tt1586713,Burlesque,Burlesque,2010,,Drama,tt1586713,7.0,45
The Last Song,BV,63000000.0,26100000,2010,tt1294226,The Last Song,The Last Song,2010,107.0,"Drama,Music,Romance",tt1294226,6.0,74914
Dinner for Schmucks,P/DW,73000000.0,13800000,2010,tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114.0,Comedy,tt0427152,5.9,91546
Marmaduke,Fox,33600000.0,50100000,2010,tt1392197,Marmaduke,Marmaduke,2010,87.0,"Comedy,Family",tt1392197,4.2,13283
Piranha 3D,W/Dim.,25000000.0,58200000,2010,tt0464154,Piranha 3D,Piranha 3D,2010,88.0,"Comedy,Horror",tt0464154,5.4,81327
Edge of Darkness,WB,43300000.0,37800000,2010,tt1226273,Edge of Darkness,Edge of Darkness,2010,117.0,"Crime,Drama,Mystery",tt1226273,6.6,84753
Vampires Suck,Fox,36700000.0,43900000,2010,tt1666186,Vampires Suck,Vampires Suck,2010,82.0,Comedy,tt1666186,3.4,43984
Letters to Juliet,Sum.,53000000.0,26100000,2010,tt0892318,Letters to Juliet,Letters to Juliet,2010,105.0,"Adventure,Comedy,Drama",tt0892318,6.6,86137
Diary of a Wimpy Kid,Fox,64000000.0,11700000,2010,tt1196141,Diary of a Wimpy Kid,Diary of a Wimpy Kid,2010,94.0,"Comedy,Drama,Family",tt1196141,6.2,38640
Easy A,SGem,58400000.0,16600000,2010,tt1282140,Easy A,Easy A,2010,92.0,"Comedy,Drama,Romance",tt1282140,7.1,330125
Takers,SGem,57700000.0,11300000,2010,tt1135084,Takers,Takers,2010,107.0,"Action,Crime,Thriller",tt1135084,6.2,53377
The American,Focus,35600000.0,32299999,2010,tt1440728,The American,The American,2010,105.0,"Crime,Drama,Thriller",tt1440728,6.3,86863
The Last Exorcism,LGF,41000000.0,26700000,2010,tt1320244,The Last Exorcism,The Last Exorcism,2010,87.0,"Drama,Horror,Thriller",tt1320244,5.6,45815
The Next Three Days,LGF,21100000.0,46300000,2010,tt1458175,The Next Three Days,The Next Three Days,2010,133.0,"Action,Crime,Drama",tt1458175,7.4,168066
Skyline,Uni.,21400000.0,45400000,2010,tt1564585,Skyline,Skyline,2010,92.0,"Action,Sci-Fi,Thriller",tt1564585,4.4,83710
Hot Tub Time Machine,MGM,50300000.0,14300000,2010,tt1231587,Hot Tub Time Machine,Hot Tub Time Machine,2010,101.0,"Comedy,Sci-Fi",tt1231587,6.4,153962
Devil,Uni.,33600000.0,29100000,2010,tt1314655,Devil,Devil,2010,80.0,"Horror,Mystery,Thriller",tt1314655,6.2,122080
127 Hours,FoxS,18300000.0,42400000,2010,tt1542344,127 Hours,127 Hours,2010,94.0,"Adventure,Biography,Drama",tt1542344,7.6,323949
Secretariat,BV,59700000.0,537000,2010,tt1028576,Secretariat,Secretariat,2010,123.0,"Biography,Drama,Family",tt1028576,7.2,24536
The Ghost Writer,Sum.,15500000.0,44700000,2010,tt1139328,The Ghost Writer,The Ghost Writer,2010,128.0,"Drama,Mystery,Thriller",tt1139328,7.2,148274
Morning Glory,Par.,31000000.0,29000000,2010,tt1126618,Morning Glory,Morning Glory,2010,107.0,"Comedy,Drama,Romance",tt1126618,6.5,67367
Remember Me,Sum.,19100000.0,37000000,2010,tt1403981,Remember Me,Remember Me,2010,113.0,"Drama,Romance",tt1403981,7.1,129443
Remember Me,Sum.,19100000.0,37000000,2010,tt4843358,Remember Me,Remember Me,2016,85.0,Comedy,tt4843358,5.2,72
Cop Out,WB,44900000.0,10700000,2010,tt1385867,Cop Out,Cop Out,2010,107.0,"Action,Comedy,Crime",tt1385867,5.6,81656
The Crazies,Over.,39100000.0,15700000,2010,tt0455407,The Crazies,The Crazies,2010,101.0,"Horror,Thriller",tt0455407,6.5,104465
From Paris with Love,LGF,24100000.0,28700000,2010,tt1179034,From Paris with Love,From Paris with Love,2010,92.0,"Action,Crime,Thriller",tt1179034,6.5,107079
Alpha and Omega,LGF,25100000.0,25400000,2010,tt1213012,Alpha and Omega,Alpha and Omega,2010,90.0,"Adventure,Animation,Comedy",tt1213012,5.3,12463
The Switch,Mira.,27800000.0,22100000,2010,tt0889573,The Switch,The Switch,2010,101.0,"Comedy,Drama,Romance",tt0889573,6.1,90661
She's Out of My League,Par.,32000000.0,17800000,2010,tt0815236,She's Out of My League,She's Out of My League,2010,104.0,"Comedy,Romance",tt0815236,6.4,117245
How Do You Know,Sony,30200000.0,18500000,2010,tt1341188,How Do You Know,How Do You Know,2010,121.0,"Comedy,Drama,Romance",tt1341188,5.4,41072
Charlie St. Cloud,Uni.,31200000.0,17000000,2010,tt1438254,Charlie St. Cloud,Charlie St. Cloud,2010,99.0,"Drama,Fantasy,Romance",tt1438254,6.5,55016
Scott Pilgrim vs. the World,Uni.,31500000.0,16100000,2010,tt0446029,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,112.0,"Action,Comedy,Fantasy",tt0446029,7.5,339338
Heartbreaker,IFC,504000.0,46900000,2010,tt1465487,Heartbreaker,L'arnacoeur,2010,105.0,"Comedy,Romance",tt1465487,6.8,23995
The Spy Next Door,LGF,24300000.0,20900000,2010,tt1273678,The Spy Next Door,The Spy Next Door,2010,94.0,"Action,Comedy,Family",tt1273678,5.5,36767
Machete,Fox,26600000.0,17500000,2010,tt0985694,Machete,Machete,2010,105.0,"Action,Crime,Thriller",tt0985694,6.6,182320
When in Rome,BV,32700000.0,10400000,2010,tt1185416,When in Rome,When in Rome,2010,91.0,"Comedy,Romance",tt1185416,5.6,57396
Going the Distance,WB (NL),17800000.0,24200000,2010,tt1322312,Going the Distance,Going the Distance,2010,102.0,"Comedy,Romance",tt1322312,6.3,54421
Going the Distance,WB (NL),17800000.0,24200000,2010,tt6135412,Going the Distance,Kazoku e,2016,117.0,,tt6135412,3.9,13
For Colored Girls,LGF,37700000.0,17300,2010,tt1405500,For Colored Girls,For Colored Girls,2010,133.0,Drama,tt1405500,6.1,6728
Furry Vengeance,Sum.,17600000.0,18600000,2010,tt0492389,Furry Vengeance,Furry Vengeance,2010,92.0,"Comedy,Family",tt0492389,3.8,14700
Faster,CBS,23200000.0,12400000,2010,tt1433108,Faster,Faster,2010,98.0,"Action,Crime,Drama",tt1433108,6.5,93618
The Kids Are All Right,Focus,20800000.0,13900000,2010,tt0842926,The Kids Are All Right,The Kids Are All Right,2010,106.0,"Comedy,Drama,Romance",tt0842926,7.0,120656
You Will Meet a Tall Dark Stranger,SPC,3200000.0,31000000,2010,tt1182350,You Will Meet a Tall Dark Stranger,You Will Meet a Tall Dark Stranger,2010,98.0,"Comedy,Drama,Romance",tt1182350,6.3,41608
Leap Year,Uni.,25900000.0,6700000,2010,tt1216492,Leap Year,Leap Year,2010,100.0,"Comedy,Romance",tt1216492,6.5,86125
Leap Year,Uni.,25900000.0,6700000,2010,tt1537401,Leap Year,Año bisiesto,2010,94.0,"Drama,Romance",tt1537401,5.9,2211
You Again,BV,25700000.0,6300000,2010,tt1414382,You Again,You Again,2010,105.0,"Comedy,Family,Romance",tt1414382,5.8,46690
The Losers,WB,23600000.0,5800000,2010,tt0480255,The Losers,The Losers,2010,97.0,"Action,Adventure,Crime",tt0480255,6.4,83876
The Losers,WB,23600000.0,5800000,2010,tt3746918,The Losers,The Losers,2013,112.0,Drama,tt3746918,1.7,70
Ramona and Beezus,Fox,26200000.0,1100000,2010,tt0493949,Ramona and Beezus,Ramona and Beezus,2010,103.0,"Adventure,Comedy,Family",tt0493949,6.6,16086
Let Me In,Over.,12100000.0,12000000,2010,tt1228987,Let Me In,Let Me In,2010,116.0,"Drama,Fantasy,Horror",tt1228987,7.1,107012
Let Me In,Over.,12100000.0,12000000,2010,tt7122852,Let Me In,Let Me In,2017,74.0,Horror,tt7122852,5.1,7
Just Wright,FoxS,21500000.0,29900,2010,tt1407061,Just Wright,Just Wright,2010,100.0,"Comedy,Romance,Sport",tt1407061,5.9,12466
Our Family Wedding,FoxS,20300000.0,1200000,2010,tt1305583,Our Family Wedding,Our Family Wedding,2010,103.0,"Comedy,Romance",tt1305583,4.9,6417
My Soul to Take,Uni.,14700000.0,6200000,2010,tt0872230,My Soul to Take,My Soul to Take,2010,107.0,"Horror,Mystery,Thriller",tt0872230,4.8,18381
Country Strong,SGem,20200000.0,310000,2010,tt1555064,Country Strong,Country Strong,2010,117.0,"Drama,Music",tt1555064,6.3,16296
Another Year,SPC,3200000.0,16500000,2010,tt1431181,Another Year,Another Year,2010,129.0,"Comedy,Drama",tt1431181,7.3,26273
Another Year,SPC,3200000.0,16500000,2010,tt3508808,Another Year,Eshche odin god,2014,107.0,"Drama,Romance",tt3508808,6.6,294
Another Year,SPC,3200000.0,16500000,2010,tt5886728,Another Year,You yi nian,2016,181.0,Documentary,tt5886728,7.2,40
Buried,LGF,1000000.0,18100000,2010,tt1462758,Buried,Buried,2010,95.0,"Drama,Mystery,Thriller",tt1462758,7.0,139426
Buried,LGF,1000000.0,18100000,2010,tt4540326,Buried,Buried,2011,95.0,Thriller,tt4540326,6.0,5
Repo Men,Uni.,13800000.0,4600000,2010,tt1053424,Repo Men,Repo Men,2010,111.0,"Action,Crime,Sci-Fi",tt1053424,6.3,96144
The Nutcracker in 3D,Free,195000.0,16000000,2010,tt1041804,The Nutcracker in 3D,The Nutcracker in 3D,2010,110.0,"Action,Family,Fantasy",tt1041804,4.3,3119
Sea Rex 3D: Journey to a Prehistoric World,3D,6100000.0,9900000,2010,tt1529567,Sea Rex 3D: Journey to a Prehistoric World,Sea Rex 3D: Journey to a Prehistoric World,2010,41.0,Documentary,tt1529567,6.9,364
I Hate Luv Storys,UTV,848000.0,14900000,2010,tt1667838,I Hate Luv Storys,I Hate Luv Storys,2010,129.0,"Comedy,Drama,Romance",tt1667838,5.7,6921
Extraordinary Measures,CBS,12100000.0,3100000,2010,tt1244659,Extraordinary Measures,Extraordinary Measures,2010,106.0,Drama,tt1244659,6.5,15673
Somewhere,Focus,1800000.0,12200000,2010,tt1421051,Somewhere,Somewhere,2010,97.0,"Comedy,Drama",tt1421051,6.3,40250
Winter's Bone,RAtt.,6500000.0,7300000,2010,tt1399683,Winter's Bone,Winter's Bone,2010,100.0,"Drama,Mystery",tt1399683,7.2,127751
The Last Station,SPC,6600000.0,6900000,2010,tt2627798,The Last Station,The Last Station,2011,,Drama,tt2627798,3.8,6
The Last Station,SPC,6600000.0,6900000,2010,tt3436064,The Last Station,La última estación,2012,90.0,Documentary,tt3436064,7.6,10
Raajneeti,UTV,1500000.0,11100000,2010,tt1291465,Raajneeti,Raajneeti,2010,163.0,"Crime,Drama",tt1291465,7.2,15214
Made in Dagenham,SPC,1100000.0,11300000,2010,tt1371155,Made in Dagenham,Made in Dagenham,2010,113.0,"Biography,Comedy,Drama",tt1371155,7.2,13121
Blue Valentine,Wein.,9700000.0,2600000,2010,tt1120985,Blue Valentine,Blue Valentine,2010,112.0,"Drama,Romance",tt1120985,7.4,170089
Tamara Drewe,SPC,560000.0,11400000,2010,tt1486190,Tamara Drewe,Tamara Drewe,2010,107.0,"Comedy,Drama,Romance",tt1486190,6.2,19362
Chloe,SPC,3100000.0,8600000,2010,tt1833881,Chloe,The 10 Commandments of Chloe,2013,73.0,"Drama,Music,Romance",tt1833881,6.9,34
The Warrior's Way,Rela.,5700000.0,5400000,2010,tt1032751,The Warrior's Way,The Warrior's Way,2010,100.0,"Action,Fantasy,Western",tt1032751,6.3,24271
Jonah Hex,WB,10500000.0,356000,2010,tt1075747,Jonah Hex,Jonah Hex,2010,81.0,"Action,Drama,Fantasy",tt1075747,4.7,51860
Cyrus,FoxS,7500000.0,2500000,2010,tt1327709,Cyrus,Cyrus,2010,87.0,"Crime,Horror,Mystery",tt1327709,4.7,944
Cyrus,FoxS,7500000.0,2500000,2010,tt1336617,Cyrus,Cyrus,2010,91.0,"Comedy,Drama,Romance",tt1336617,6.3,32457
Conviction,FoxS,6800000.0,2900000,2010,tt1244754,Conviction,Conviction,2010,107.0,"Biography,Crime,Drama",tt1244754,7.2,39771
Conviction,FoxS,6800000.0,2900000,2010,tt7799386,Conviction,Une intime conviction,2018,110.0,Drama,tt7799386,7.0,234
Babies,Focus,7300000.0,2200000,2010,tt1020938,Babies,Bébé(s),2010,79.0,Documentary,tt1020938,7.1,6672
Stone,Over.,1800000.0,7700000,2010,tt1423995,Stone,Stone,2010,105.0,"Drama,Thriller",tt1423995,5.4,38667
Stone,Over.,1800000.0,7700000,2010,tt2156825,Stone,Kamen,2012,90.0,"Crime,Drama,Thriller",tt2156825,5.6,607
Never Let Me Go,FoxS,2400000.0,7000000,2010,tt1334260,Never Let Me Go,Never Let Me Go,2010,103.0,"Drama,Romance,Sci-Fi",tt1334260,7.1,130084
MacGruber,Uni.,8500000.0,797000,2010,tt1470023,MacGruber,MacGruber,2010,90.0,"Action,Comedy,Romance",tt1470023,5.5,39782
Inside Job,SPC,4300000.0,3600000,2010,tt1645089,Inside Job,Inside Job,2010,109.0,"Crime,Documentary",tt1645089,8.3,65304
The Joneses,RAtt.,1500000.0,5500000,2010,tt1152830,The Joneses,The Joneses,2011,117.0,"Comedy,Drama",tt1152830,6.9,87
The Joneses,RAtt.,1500000.0,5500000,2010,tt4360484,The Joneses,The Joneses,2016,80.0,"Biography,Documentary",tt4360484,5.9,15
Centurion,Magn.,124000.0,6700000,2010,tt1020558,Centurion,Centurion,2010,97.0,"Action,Adventure,Drama",tt1020558,6.4,74085
Animal Kingdom,SPC,1000000.0,5700000,2010,tt1313092,Animal Kingdom,Animal Kingdom,2010,113.0,"Crime,Drama",tt1313092,7.3,51576
It's Kind of a Funny Story,Focus,6400000.0,128000,2010,tt0804497,It's Kind of a Funny Story,It's Kind of a Funny Story,2010,101.0,"Comedy,Drama,Romance",tt0804497,7.1,125583
Greenberg,Focus,4200000.0,1900000,2010,tt1234654,Greenberg,Greenberg,2010,107.0,"Comedy,Drama,Romance",tt1234654,6.1,33702
Exit Through the Gift Shop,PDA,3300000.0,2000000,2010,tt1587707,Exit Through the Gift Shop,Exit Through the Gift Shop,2010,87.0,"Comedy,Crime,Documentary",tt1587707,8.0,58721
Rabbit Hole,LGF,2200000.0,2900000,2010,tt0935075,Rabbit Hole,Rabbit Hole,2010,91.0,Drama,tt0935075,7.0,45357
Vision,Zeit.,435000.0,4600000,2010,tt7566518,Vision,Vision,2018,109.0,Drama,tt7566518,5.4,322
The Runaways,App.,3600000.0,1100000,2010,tt1017451,The Runaways,The Runaways,2010,106.0,"Biography,Drama,Music",tt1017451,6.6,43792
The Runaways,App.,3600000.0,1100000,2010,tt6168914,The Runaways,The Runaways,2019,108.0,Adventure,tt6168914,9.2,47
Four Lions,Drft.,305000.0,4400000,2010,tt1341167,Four Lions,Four Lions,2010,97.0,"Comedy,Crime,Drama",tt1341167,7.3,66209
Please Give,SPC,4000000.0,280000,2010,tt0878835,Please Give,Please Give,2010,87.0,"Comedy,Drama",tt0878835,6.6,10652
Monsters,Magn.,237000.0,4000000,2010,tt1470827,Monsters,Monsters,2010,94.0,"Drama,Sci-Fi,Thriller",tt1470827,6.4,84332
Monsters,Magn.,237000.0,4000000,2010,tt5253186,Monsters,Yi zhong,2015,87.0,Horror,tt5253186,4.0,6
Rare Exports: A Christmas Tale,Osci.,236000.0,3800000,2010,tt1401143,Rare Exports: A Christmas Tale,Rare Exports,2010,84.0,"Adventure,Fantasy,Horror",tt1401143,6.7,23923
The Killer Inside Me,IFC,217000.0,3800000,2010,tt0954947,The Killer Inside Me,The Killer Inside Me,2010,109.0,"Crime,Drama,Horror",tt0954947,6.1,31727
Catfish,Rog.,3200000.0,242000,2010,tt1584016,Catfish,Catfish,2010,87.0,"Documentary,Drama,Mystery",tt1584016,7.1,38656
Wild Target,Free,109000.0,3300000,2010,tt1235189,Wild Target,Wild Target,2010,98.0,"Action,Comedy,Crime",tt1235189,6.8,33915
Kites,Relbig.,1600000.0,1300000,2010,tt1198101,Kites,Kites,2010,123.0,"Action,Drama,Romance",tt1198101,6.1,11353
Letters to God,Viv.,2800000.0,60300,2010,tt1462054,Letters to God,Letters to God,2010,110.0,"Drama,Family",tt1462054,6.3,4443
Twelve,Hann.,184000.0,2400000,2010,tt1407084,Twelve,Twelve,2010,93.0,"Action,Crime,Drama",tt1407084,5.7,11533
Twelve,Hann.,184000.0,2400000,2010,tt5001140,Twelve,Twelve,2015,,Comedy,tt5001140,8.4,17
Twelve,Hann.,184000.0,2400000,2010,tt7033498,Twelve,Twelve,2019,92.0,"Family,Sport",tt7033498,6.5,132
